trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
139,False,"{'a': 0.4, 'e': 0.9914999999999927}",25,0,-78.84088194123018,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
140,False,"{'a': 0.4, 'e': 0.9899999999999928}",20,0,-56.56957026077013,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
141,False,"{'a': 0.4, 'e': 0.9884999999999928}",25,0,-105.33194774482955,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
142,False,"{'a': 0.4, 'e': 0.9869999999999929}",20,0,-24.77054121801061,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.4, 'e': 0.9854999999999929}",20,0,-149.67051124258415,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
144,False,"{'a': 0.4, 'e': 0.983999999999993}",25,0,-103.88930053416968,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
145,False,"{'a': 0.4, 'e': 0.982499999999993}",25,0,-159.38216594222988,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
146,False,"{'a': 0.4, 'e': 0.9809999999999931}",20,0,-27.055340252099878,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
147,False,"{'a': 0.4, 'e': 0.9794999999999932}",25,0,-50.31486509197839,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
148,False,"{'a': 0.4, 'e': 0.9779999999999932}",25,0,-114.72693913664759,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 1}",0
149,False,"{'a': 0.4, 'e': 0.9764999999999933}",30,0,-179.08184852382433,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
150,False,"{'a': 0.4, 'e': 0.9749999999999933}",20,0,-77.51996582793767,"{0: 15, 1: 2, 2: 0, 3: 2, 4: 1}",0
151,False,"{'a': 0.4, 'e': 0.9734999999999934}",30,0,-80.33259898116337,"{0: 23, 1: 4, 2: 1, 3: 0, 4: 2}",0
152,False,"{'a': 0.4, 'e': 0.9719999999999934}",30,0,-115.03201267089474,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
153,False,"{'a': 0.4, 'e': 0.9704999999999935}",20,0,-196.8691672647474,"{0: 7, 1: 3, 2: 5, 3: 3, 4: 2}",0
154,False,"{'a': 0.4, 'e': 0.9689999999999935}",25,0,-112.81038149363755,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.4, 'e': 0.9674999999999936}",25,0,-63.69326579201775,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
156,False,"{'a': 0.4, 'e': 0.9659999999999936}",25,0,-118.15267458027915,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
157,False,"{'a': 0.4, 'e': 0.9644999999999937}",25,0,-76.8226713513637,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
158,False,"{'a': 0.4, 'e': 0.9629999999999937}",20,0,-64.83197840354072,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
159,False,"{'a': 0.4, 'e': 0.9614999999999938}",25,0,-234.78354337368776,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 5}",0
160,False,"{'a': 0.4, 'e': 0.9599999999999939}",25,0,-199.13828087738057,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
161,False,"{'a': 0.4, 'e': 0.9584999999999939}",20,0,-130.51901725540674,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
162,False,"{'a': 0.4, 'e': 0.956999999999994}",20,0,-48.26045680634193,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
163,False,"{'a': 0.4, 'e': 0.955499999999994}",20,0,-37.338410633005935,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
164,False,"{'a': 0.4, 'e': 0.9539999999999941}",25,0,-66.01885676561871,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
